"","id","Question","Answer","statement_id","M","SD","responses"
"61",9,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"62",1,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"63",53,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"64",45,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"65",68,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"66",63,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"67",15,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"68",41,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"69",30,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"70",80,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"71",3,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"72",17,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"73",23,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"74",32,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"75",47,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"76",31,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"77",58,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"78",6,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"79",46,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"80",13,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,1
"81",71,"Wie lautet das einzige Land mit einer einfarbigen Flagge?","- Lybien - ",1,3.8,1.28,0
"82",55,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"83",60,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"84",71,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"85",31,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"86",20,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"87",48,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"88",1,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"89",58,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"90",52,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"91",18,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"92",22,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"93",77,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"94",9,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"95",65,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"96",30,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"97",4,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"98",53,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"99",46,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"100",12,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"101",28,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"102",41,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"103",6,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"104",74,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"105",81,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"106",70,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"107",19,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"108",5,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"109",11,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"110",15,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"111",59,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"112",16,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"113",67,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"114",17,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"115",26,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"116",72,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"117",68,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"118",61,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"119",29,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"120",35,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"121",13,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"122",79,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"123",47,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"124",50,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"125",56,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"126",32,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"127",23,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"128",57,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"129",8,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"130",38,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"131",21,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"132",43,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"133",51,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"134",49,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"135",62,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"136",25,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"137",45,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"138",66,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"139",42,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"140",36,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"141",3,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"142",54,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"143",69,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"144",24,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"145",73,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"146",7,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"147",80,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"148",33,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"149",64,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"150",75,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"151",76,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"152",63,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"153",27,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"154",34,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"155",40,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"156",10,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"157",39,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"158",78,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"159",44,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"160",14,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"161",37,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,1
"162",2,"Welche Geschwindigkeit (km/h) können Delfine erreichen?","- 54 - ",2,4.5,1.19,0
"163",26,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"164",27,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"165",44,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"166",19,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"167",31,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"168",6,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"169",1,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"170",69,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"171",15,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"172",49,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"173",20,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"174",68,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"175",28,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"176",64,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"177",5,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"178",66,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"179",45,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"180",79,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"181",70,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"182",52,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"183",41,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"184",62,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"185",23,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"186",37,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"187",18,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"188",38,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"189",39,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"190",24,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"191",3,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"192",8,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"193",75,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"194",74,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"195",57,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"196",46,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"197",21,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"198",34,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"199",60,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"200",80,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"201",35,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"202",2,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"203",14,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"204",17,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"205",13,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"206",65,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"207",22,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"208",67,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"209",77,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"210",51,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"211",54,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"212",63,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"213",78,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"214",81,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"215",55,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"216",43,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"217",33,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"218",42,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"219",58,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"220",40,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"221",71,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"222",48,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"223",25,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"224",72,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"225",56,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"226",7,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"227",30,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"228",47,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"229",4,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"230",29,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"231",73,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"232",61,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"233",59,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"234",12,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"235",9,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"236",36,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"237",10,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"238",53,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"239",16,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"240",76,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"241",11,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,0
"242",32,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"243",50,"Welcher griechische Gott ist der Schutzherr der Küste?","- Apollon -",3,3.67,1.68,1
"244",35,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"245",6,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"246",5,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"247",37,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"248",70,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"249",45,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"250",75,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,0
"251",42,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"252",32,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,0
"253",20,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"254",43,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"255",57,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"256",34,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"257",71,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"258",67,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,0
"259",56,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,0
"260",3,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"261",76,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"262",60,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"263",28,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,0
"264",19,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,0
"265",31,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"266",38,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
"267",40,"Wann wurde der Maler Marc Chagall in Russland geboren?","- 1887 -",4,4.42,1.43,1
