"","id","session","statements","M","SD","responses"
"40",49,1,"""French Fries"" wurden in England erfunden.",4,1.81,0
"41",76,1,"""French Fries"" wurden in England erfunden.",4,1.81,0
"42",31,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"43",62,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"44",80,1,"""French Fries"" wurden in England erfunden.",4,1.81,0
"45",35,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"46",68,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"47",79,1,"""French Fries"" wurden in England erfunden.",4,1.81,0
"48",41,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"49",13,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"50",71,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"51",26,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"52",61,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"53",54,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"54",66,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"55",28,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"56",38,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"57",53,1,"""French Fries"" wurden in England erfunden.",4,1.81,0
"58",6,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"59",30,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"60",33,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"61",55,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"62",63,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"63",24,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"64",77,1,"""French Fries"" wurden in England erfunden.",4,1.81,0
"65",14,1,"""French Fries"" wurden in England erfunden.",4,1.81,0
"66",69,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"67",32,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"68",64,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"69",25,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"70",34,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"71",2,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"72",81,2,"""French Fries"" wurden in England erfunden.",4,1.81,0
"73",5,1,"""French Fries"" wurden in England erfunden.",4,1.81,1
"74",57,2,"""French Fries"" wurden in England erfunden.",4,1.81,1
"75",7,1,"""French Fries"" wurden in England erfunden.",4,1.81,0
"76",50,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"77",61,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"78",1,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"79",31,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"80",62,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"81",76,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"82",32,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"83",64,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"84",77,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"85",24,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"86",39,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"87",55,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"88",72,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"89",59,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"90",4,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"91",56,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"92",71,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"93",33,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"94",79,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"95",75,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"96",66,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"97",57,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"98",73,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"99",58,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"100",47,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"101",5,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"102",34,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"103",26,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"104",81,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"105",27,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"106",54,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"107",2,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"108",80,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"109",52,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"110",30,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"111",38,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"112",74,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"113",49,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"114",20,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"115",63,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"116",6,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"117",35,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"118",46,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"119",17,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"120",25,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"121",44,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"122",70,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"123",23,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"124",53,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"125",22,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"126",37,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"127",12,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"128",19,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"129",11,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"130",40,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"131",7,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"132",41,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"133",43,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"134",9,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"135",28,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"136",29,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"137",13,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"138",18,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"139",67,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"140",21,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"141",36,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"142",14,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"143",65,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"144",15,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"145",16,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"146",48,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"147",68,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"148",69,1,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,0
"149",42,2,"Albany ist die Hauptstadt des US-Bundesstaates New Jersey.",3.88,0.93,1
"150",21,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"151",44,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"152",31,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"153",20,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"154",71,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"155",73,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"156",33,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"157",50,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"158",48,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"159",32,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"160",60,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"161",75,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"162",43,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"163",52,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"164",46,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"165",74,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"166",30,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"167",80,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"168",25,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"169",79,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"170",49,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"171",81,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"172",72,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"173",22,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"174",26,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"175",53,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"176",40,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"177",28,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"178",23,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"179",62,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"180",29,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"181",64,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"182",35,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"183",19,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"184",37,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"185",76,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"186",54,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"187",41,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"188",65,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"189",13,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"190",66,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"191",12,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"192",59,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"193",63,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"194",34,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"195",57,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"196",6,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"197",9,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"198",16,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"199",77,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"200",42,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"201",24,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"202",15,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"203",27,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"204",70,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"205",11,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"206",56,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"207",7,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"208",14,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"209",5,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"210",67,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"211",47,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"212",61,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"213",2,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"214",58,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"215",68,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"216",38,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"217",69,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"218",55,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"219",4,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"220",39,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"221",1,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"222",18,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"223",36,1,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,0
"224",17,2,"Alexander Graham Bell erfand das Tragflügelboot.",3.89,1.15,1
"225",74,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"226",46,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"227",52,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"228",23,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"229",53,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"230",47,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,0
"231",40,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"232",81,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"233",50,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"234",77,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,0
"235",73,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"236",49,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"237",34,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"238",64,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"239",66,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"240",32,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,0
"241",75,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"242",76,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"243",42,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"244",2,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"245",61,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,0
"246",27,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,0
"247",1,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"248",35,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"249",60,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"250",33,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"251",26,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"252",4,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"253",15,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"254",25,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"255",54,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,0
"256",28,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"257",71,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"258",41,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"259",14,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"260",48,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"261",24,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"262",79,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"263",9,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"264",17,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"265",72,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,0
"266",80,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"267",20,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"268",69,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"269",16,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"270",22,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"271",63,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"272",68,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"273",57,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,0
"274",67,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"275",7,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"276",55,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"277",29,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,0
"278",6,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,0
"279",70,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"280",36,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"281",19,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"282",11,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"283",59,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"284",43,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,0
"285",44,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,0
"286",18,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"287",13,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"288",5,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"289",12,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,0
"290",21,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"291",62,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"292",38,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"293",39,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"294",37,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,0
"295",56,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"296",28,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"297",31,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"298",30,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"299",65,1,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,1
"300",58,2,"Alle Uhren im Film ""Pulp Fiction"" stehen auf 4.10 Uhr.",4.42,1.12,0
"301",80,1,"Auf indischen Rupienscheinen sind 12 verschiedene Schriften.",4.15,0.93,1
"302",33,1,"Auf indischen Rupienscheinen sind 12 verschiedene Schriften.",4.15,0.93,1
"303",26,1,"Auf indischen Rupienscheinen sind 12 verschiedene Schriften.",4.15,0.93,1
"304",60,1,"Auf indischen Rupienscheinen sind 12 verschiedene Schriften.",4.15,0.93,1
"305",65,2,"Auf indischen Rupienscheinen sind 12 verschiedene Schriften.",4.15,0.93,1
"306",61,2,"Auf indischen Rupienscheinen sind 12 verschiedene Schriften.",4.15,0.93,0
"307",77,2,"Auf indischen Rupienscheinen sind 12 verschiedene Schriften.",4.15,0.93,1
"308",35,1,"Auf indischen Rupienscheinen sind 12 verschiedene Schriften.",4.15,0.93,1
"309",48,2,"Auf indischen Rupienscheinen sind 12 verschiedene Schriften.",4.15,0.93,1
